Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
221,Major League: Back to the Minors,1998,100,Comedy, Sport,,4.7,7882,John Warren,Scott Bakula,Corbin Bernsen,Dennis Haysbert,Takaaki Ishibashi
222,Psycho,1998,105,Horror, Mystery, Thriller,4.6,49353,Gus Van Sant,Vince Vaughn,Anne Heche,Julianne Moore,Viggo Mortensen
223,Species II,1998,93,Action, Horror, Sci-Fi,4.5,30096,Peter Medak,Natasha Henstridge,Michael Madsen,Marg Helgenberger,Mykelti Williamson
224,Air Bud: Golden Receiver,1998,90,Comedy, Family, Sport,4.5,5928,Richard Martin,Kevin Zegers,Cynthia Stevenson,Tim Conway,Dick Martin
225,The Phantom of the Opera,1998,99,Horror,,,4.3,5648,Dario Argento,Julian Sands,Asia Argento,Andrea Di Stefano,Nadia Rinaldi
226,The Patriot,1998,90,Action, Thriller,,4.1,12928,Dean Semler,Steven Seagal,L.Q. Jones,Gailard Sartain,Silas Weir Mitchell
227,The Avengers,1998,89,Action, Adventure, Sci-Fi,3.8,44464,Jeremiah S. Chechik,Ralph Fiennes,Uma Thurman,Sean Connery,Patrick Macnee
228,Ringmaster,1998,90,Comedy,,,3.3,5269,Neil Abramson,Jerry Springer,Jaime Pressly,William McNamara,Molly Hagan
229,3 Ninjas: High Noon at Mega Mountain,1998,93,Action, Adventure, Comedy,2.9,11920,Sean McNamara,Loni Anderson,Hulk Hogan,Jim Varney,Victor Wong
1,Fight Club,1999,139,Drama,,,8.8,2170135,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier
2,The Matrix,1999,136,Action, Sci-Fi,,8.7,1945403,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
3,The Green Mile,1999,189,Crime, Drama, Fantasy,8.6,1325818,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt
4,American Beauty,1999,122,Drama,,,8.4,1168842,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley
5,Mudhalvan,1999,169,Action, Drama, Thriller,8.4,7997,S. Shankar,Arjun Sarja,Manisha Koirala,Raghuvaran,Vadivelu
6,Thulladha Manamum Thullum,1999,170,Drama, Romance,,8.3,6197,Ezhil,Joseph Vijay,Simran,Dhamu,Vaiyapuri
7,The Sixth Sense,1999,107,Drama, Mystery, Thriller,8.2,1006338,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams
8,Padaiyappa,1999,181,Action, Comedy, Drama,8.2,7309,K.S. Ravikumar,Shivaji Ganesan,Rajinikanth,Ramya Krishnan,Soundarya
9,The Iron Giant,1999,86,Animation, Action, Adventure,8.1,206705,Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel
10,Sarfarosh,1999,174,Action, Drama, Thriller,8.1,26150,John Mathew Matthan,Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi
11,The Color of Paradise,1999,90,Drama, Family,,8.1,17668,Majid Majidi,Hossein Mahjoub,Mohsen Ramezani,Salameh Feyzi,Farahnaz Safari
12,Pelísky,1999,115,Comedy, Drama,,8.1,5782,Jan Hrebejk,Michael Beran,Miroslav Donutil,Simona Stasová,Kristýna Nováková
13,Magnolia,1999,188,Drama,,,8.0,318120,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman
14,The Straight Story,1999,112,Biography, Drama,,8.0,92735,David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter
15,Vaastav: The Reality,1999,145,Action, Crime, Drama,8.0,14249,Mahesh Manjrekar,Sanjay Dutt,Namrata Shirodkar,Reema Lagoo,Shivaji Satam
16,Toy Story 2,1999,92,Animation, Adventure, Comedy,7.9,592170,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen
17,The Insider,1999,157,Biography, Drama, Thriller,7.8,174182,Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora
18,October Sky,1999,108,Biography, Drama, Family,7.8,93968,Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen
19,All About My Mother,1999,101,Drama,,,7.8,99176,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan
20,Herod's Law,1999,123,Comedy, Crime, Drama,7.8,6513,Luis Estrada,Damián Alcázar,Pedro Armendáriz Jr.,Delia Casanova,Juan Carlos Colombo
21,Gloomy Sunday,1999,112,Romance, Drama,,7.8,8123,Rolf Schübel,Joachim Król,Erika Marozsán,Stefano Dionisi,Ben Becker
22,The Road Home,1999,89,Drama, Romance,,7.8,13552,Yimou Zhang,Ziyi Zhang,Honglei Sun,Hao Zheng,Yulian Zhao
23,The Boondock Saints,1999,108,Action, Thriller,,7.7,242671,Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco
24,Being John Malkovich,1999,113,Comedy, Drama, Fantasy,7.7,342325,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich
25,"South Park: Bigger, Longer & Uncut",1999,81,Animation, Comedy, Fantasy,7.7,208821,Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes
26,Kikujiro,1999,122,Drama, Comedy,,7.7,21237,Takeshi Kitano,Takeshi Kitano,Yusuke Sekiguchi,Kayoko Kishimoto,The Great Gidayû
27,Not One Less,1999,106,Drama,,,7.7,9011,Yimou Zhang,Minzhi Wei,Huike Zhang,Zhenda Tian,Enman Gao
28,Office Space,1999,89,Comedy,,,7.6,273768,Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu
29,The Hurricane,1999,146,Biography, Drama, Sport,7.6,99189,Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber
30,Peppermint Candy,1999,129,Drama,,,7.6,9979,Lee Chang-dong,Sol Kyung-gu,Kim Yeo-jin,Moon So-ri,Se-beom Park
31,A Room for Romeo Brass,1999,90,Comedy, Drama,,7.6,6019,Shane Meadows,Martin Arrowsmith,Dave Blant,Darren Campbell,Paddy Considine
32,Butterfly,1999,96,Drama, War,,7.6,9321,José Luis Cuerda,Manuel Lozano,Fernando Fernán Gómez,Uxía Blanco,Gonzalo Uriarte
33,Eyes Wide Shut,1999,159,Drama, Mystery, Thriller,7.5,351794,Stanley Kubrick,Tom Cruise,Nicole Kidman,Todd Field,Sydney Pollack
34,Boys Don't Cry,1999,118,Biography, Crime, Drama,7.5,100097,Kimberly Peirce,Hilary Swank,Chloë Sevigny,Peter Sarsgaard,Brendan Sexton III
35,Ghost Dog: The Way of the Samurai,1999,116,Crime, Drama,,7.5,93456,Jim Jarmusch,Forest Whitaker,Henry Silva,John Tormey,Cliff Gorman
36,Sunshine,1999,181,Drama, History, Romance,7.5,15399,István Szabó,Ralph Fiennes,Rosemary Harris,Rachel Weisz,Jennifer Ehle
37,Ratcatcher,1999,94,Drama,,,7.5,11149,Lynne Ramsay,Tommy Flanagan,Mandy Matthews,William Eadie,Michelle Stewart
38,La fille sur le pont,1999,90,Comedy, Drama, Romance,7.5,14066,Patrice Leconte,Vanessa Paradis,Daniel Auteuil,Frédéric Pfluger,Dimitris Georgalas
