Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
21,Taken,2008,90,Action, Crime, Thriller,7.8,612172,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser
22,The Curious Case of Benjamin Button,2008,166,Drama, Fantasy, Romance,7.8,664178,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond
23,Changeling,2008,141,Biography, Crime, Drama,7.8,259138,Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith
24,The Chaser,2008,125,Action, Crime, Drama,7.8,68687,Na Hong-jin,Kim Yoon-seok,Ha Jung-woo,Yeong-hie Seo,Kim Yoo-jeong
25,Nunta muta,2008,87,Comedy, Drama, History,7.8,6667,Horatiu Malaele,Meda Andreea Victor,Alexandru Potocean,Valentin Teodosiu,Alexandru Bindea
26,Dasvidaniya,2008,113,Comedy, Drama,,7.8,6430,Shashant Shah,Vinay Pathak,Sarita Joshi,Rajat Kapoor,Saurabh Shukla
27,The Boy in the Striped Pajamas,2008,94,Drama, War,,7.7,227415,Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien
28,Frost/Nixon,2008,122,Biography, Drama, History,7.7,109894,Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell
29,Rock On!!,2008,145,Drama, Music,,7.7,22471,Abhishek Kapoor,Arjun Rampal,Farhan Akhtar,Luke Kenny,Purab Kohli
30,Oye Lucky! Lucky Oye!,2008,125,Action, Comedy, Crime,7.7,17818,Dibakar Banerjee,Abhay Deol,Paresh Rawal,Nitu Chandra,Archana Puran Singh
31,Mumbai Meri Jaan,2008,134,Drama,,,7.7,6470,Nishikant Kamat,Paresh Rawal,Kay Kay Menon,Irrfan Khan,Madhavan
32,Sonbahar,2008,99,Drama,,,7.7,6531,Özcan Alper,Onur Saylak,Megi Kobaladze,Serkan Keskin,Raife Yenigül
33,Kung Fu Panda,2008,92,Animation, Action, Adventure,7.6,484918,Mark Osborne,John Stevenson,Jack Black,Ian McShane,Angelina Jolie
34,The Reader,2008,124,Drama, Romance,,7.6,250623,Stephen Daldry,Kate Winslet,Ralph Fiennes,Bruno Ganz,Jeanette Hain
35,Ponyo,2008,101,Animation, Adventure, Comedy,7.6,149342,Hayao Miyazaki,Cate Blanchett,Matt Damon,Liam Neeson,Tomoko Yamaguchi
36,Seven Pounds,2008,123,Drama,,,7.6,307588,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy
37,The Wave,2008,107,Drama, Thriller,,7.6,111395,Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich
38,I've Loved You So Long,2008,117,Drama,,,7.6,20478,Philippe Claudel,Kristin Scott Thomas,Elsa Zylberstein,Serge Hazanavicius,Laurent Grévill
39,The First Day of the Rest of Your Life,2008,114,Drama,,,7.6,9738,Rémi Bezançon,Jacques Gamblin,Zabou Breitman,Déborah François,Marc-André Grondin
40,Troubled Water,2008,115,Drama, Music,,7.6,6018,Erik Poppe,Pål Sverre Hagen,Trine Dyrholm,Ellen Dorrit Petersen,Fredrik Grøndahl
41,Aamir,2008,99,Action, Crime, Drama,7.6,11412,Raj Kumar Gupta,Rajeev Khandelwal,Mukesh Agrohari,Supavitra Babul,Vasan Bala
42,Kirschblüten - Hanami,2008,127,Drama, Romance,,7.6,6004,Doris Dörrie,Elmar Wepper,Hannelore Elsner,Aya Irizuki,Maximilian Brückner
43,The Hurt Locker,2008,131,Drama, Thriller, War,7.5,459426,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Brian Geraghty,Guy Pearce
44,"Synecdoche, New York",2008,124,Drama,,,7.5,94072,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener
45,Milk,2008,128,Biography, Drama, History,7.5,175734,Gus Van Sant,Sean Penn,Josh Brolin,Emile Hirsch,Diego Luna
46,Doubt,2008,104,Drama, Mystery,,7.5,132366,John Patrick Shanley,Meryl Streep,Philip Seymour Hoffman,Amy Adams,Viola Davis
47,Hunger,2008,96,Biography, Crime, Drama,7.5,71627,Steve McQueen,Stuart Graham,Laine Megaw,Brian Milligan,Liam McMahon
48,Mesrine: Killer Instinct,2008,113,Action, Biography, Crime,7.5,34429,Jean-François Richet,Vincent Cassel,Cécile de France,Gérard Depardieu,Gilles Lellouche
49,Jodhaa Akbar,2008,213,Action, Drama, History,7.5,33483,Ashutosh Gowariker,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,Poonam Sinha
50,Revanche,2008,121,Crime, Drama, Romance,7.5,15126,Götz Spielmann,Johannes Krisch,Irina Potapenko,Andreas Lust,Ursula Strauss
51,The Class,2008,128,Drama,,,7.5,35844,Laurent Cantet,François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,Arthur Fogel
52,Tokyo Sonata,2008,120,Drama,,,7.5,11028,Kiyoshi Kurosawa,Teruyuki Kagawa,Kyôko Koizumi,Yû Koyanagi,Kai Inowaki
53,Everlasting Moments,2008,131,Drama, History,,7.5,5787,Jan Troell,Maria Heiskanen,Mikael Persbrandt,Jesper Christensen,Callin Öhrvall
54,Breathless,2008,130,Crime, Drama,,7.5,5422,Yang Ik-joon,Kkobbi Kim,Hwan Lee,Yang Ik-joon,Jeong-soon Park
55,Felon,2008,104,Crime, Thriller,,7.4,81283,Ric Roman Waugh,Stephen Dorff,Marisol Nichols,Vincent Miller,Anne Archer
56,Keith,2008,95,Drama, Romance,,7.4,36819,Todd Kessler,Elisabeth Harnois,Jesse McCartney,Margo Harshman,Ignacio Serricchio
57,Mesrine: Public Enemy No. 1,2008,133,Action, Biography, Crime,7.4,30435,Jean-François Richet,Vincent Cassel,Ludivine Sagnier,Mathieu Amalric,Samuel Le Bihan
58,North Face,2008,126,Adventure, Biography, Drama,7.4,16029,Philipp Stölzl,Benno Fürmann,Florian Lukas,Johanna Wokalek,Simon Schwarz
59,Jaane Tu... Ya Jaane Na,2008,155,Comedy, Drama, Romance,7.4,27444,Abbas Tyrewala,Imran Khan,Genelia D'Souza,Manjari Fadnnis,Ayaz Khan
60,Camino,2008,138,Drama,,,7.4,5183,Javier Fesser,Nerea Camacho,Carme Elias,Mariano Venancio,Manuela Vellés
61,Seraphine,2008,125,Biography, Drama,,7.4,6379,Martin Provost,Yolande Moreau,Ulrich Tukur,Anne Bennent,Geneviève Mnich
62,Jalsa,2008,161,Action, Comedy,,7.4,6314,Trivikram Srinivas,Pawan Kalyan,Ileana D'Cruz,Mukesh Rishi,Kamalinee Mukherjee
63,Revolutionary Road,2008,119,Drama, Romance,,7.3,217711,Sam Mendes,Leonardo DiCaprio,Kate Winslet,Christopher Fitzgerald,Jonathan Roumie
64,Red Cliff,2008,148,Action, Adventure, Drama,7.3,47188,John Woo,Tony Leung Chiu-wai,Takeshi Kaneshiro,Fengyi Zhang,Chang Chen
65,Ghajini,2008,186,Action, Drama, Mystery,7.3,63837,A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan,Aamir Naik
66,The Baader Meinhof Complex,2008,150,Action, Biography, Crime,7.3,38852,Uli Edel,Martina Gedeck,Moritz Bleibtreu,Johanna Wokalek,Bruno Ganz
67,Max Manus: Man of War,2008,118,Action, Biography, Crime,7.3,28829,Joachim Rønning,Espen Sandberg,Aksel Hennie,Agnes Kittelsen,Nicolai Cleve Broch
68,Loft,2008,118,Crime, Drama, Mystery,7.3,24000,Erik Van Looy,Koen De Bouw,Filip Peeters,Matthias Schoenaerts,Bruno Vanden Broecke
69,Three Monkeys,2008,109,Drama,,,7.3,22088,Nuri Bilge Ceylan,Yavuz Bingöl,Hatice Aslan,Ahmet Rifat Sungar,Ercan Kesal
70,A.R.O.G,2008,127,Comedy, Fantasy, Sci-Fi,7.3,43350,Ali Taner Baltaci,Cem Yilmaz,Cem Yilmaz,Özge Özberk,Zafer Algöz
71,Lemon Tree,2008,106,Drama, War,,7.3,6701,Eran Riklis,Hiam Abbass,Rona Lipaz-Michael,Ali Suliman,Doron Tavory
72,Gangster's Paradise: Jerusalema,2008,119,Action, Crime, Drama,7.3,10748,Ralph Ziman,Rapulana Seiphemo,Jeffrey Sekele,Ronnie Nyakale,Shelley Meskin
73,Goodbye Solo,2008,91,Drama,,,7.3,6060,Ramin Bahrani,Souleymane Sy Savane,Red West,Diana Franco Galindo,Lane 'Roc' Williams
74,RocknRolla,2008,114,Action, Crime, Thriller,7.2,257611,Guy Ritchie,Gerard Butler,Tom Wilkinson,Idris Elba,Thandiwe Newton
75,The Bank Job,2008,111,Crime, Drama, Thriller,7.2,184642,Roger Donaldson,Jason Statham,Saffron Burrows,Stephen Campbell Moore,Daniel Mays
76,The Secret Life of Bees,2008,114,Drama,,,7.2,26924,Gina Prince-Bythewood,Dakota Fanning,Jennifer Hudson,Queen Latifah,Alicia Keys
77,The Good the Bad the Weird,2008,130,Action, Adventure, Comedy,7.2,36615,Jee-woon Kim,Song Kang-ho,Lee Byung-hun,Jung Woo-sung,Je-mun Yun
78,Rab Ne Bana Di Jodi,2008,167,Comedy, Drama, Music,7.2,50347,Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina
79,Nothing But the Truth,2008,108,Crime, Drama, Thriller,7.2,38916,Rod Lurie,Kate Beckinsale,Matt Dillon,Vera Farmiga,Angela Bassett
80,The Express,2008,130,Biography, Drama, Sport,7.2,22428,Gary Fleder,Rob Brown,Dennis Quaid,Clancy Brown,Darrin Dewitt Henson
81,Flame & Citron,2008,130,Action, Drama, History,7.2,19313,Ole Christian Madsen,Thure Lindhardt,Mads Mikkelsen,Stine Stengade,Peter Mygind
82,Berlin Calling,2008,109,Comedy, Drama, Music,7.2,14871,Hannes Stöhr,Paul Kalkbrenner,Rita Lengyel,Corinna Harfouch,Araba Walton
83,The Black Balloon,2008,97,Drama, Romance,,7.2,9060,Elissa Down,Rhys Wakefield,Luke Ford,Toni Collette,Erik Thomson
84,Il Divo,2008,110,Biography, Drama,,7.2,18438,Paolo Sorrentino,Toni Servillo,Anna Bonaiuto,Giulio Bosetti,Flavio Bucci
85,Sugar,2008,114,Drama, Sport,,7.2,5023,Anna Boden,Ryan Fleck,Algenis Perez Soto,Jose Rijo,Walki Cuevas
86,Dasavatharam,2008,188,Action, Adventure, Sci-Fi,7.2,10111,K.S. Ravikumar,Kamal Haasan,Asin Thottumkal,Jaya Prada,Mallika Sherawat
87,Summer Hours,2008,103,Drama, Family,,7.2,7849,Olivier Assayas,Juliette Binoche,Charles Berling,Jérémie Renier,Edith Scob
88,Zift,2008,92,Crime, Drama, Mystery,7.2,5218,Javor Gardev,Zachary Baharov,Tanya Ilieva,Vladimir Penev,Mihail Mutafov
89,Meu Nome Não é Johnny,2008,124,Biography, Crime, Drama,7.2,7510,Mauro Lima,Selton Mello,Giulio Lopes,Júlia Lemmertz,Felipe Severo
90,120,2008,114,Drama, History, War,7.2,6946,Özhan Eren,Murat Saraçoglu,Özge Özberk,Cansel Elcin,Burak Sergen
91,Tropic Thunder,2008,107,Action, Comedy, War,7.1,427106,Ben Stiller,Ben Stiller,Jack Black,Robert Downey Jr.,Jeff Kahn
92,Vicky Cristina Barcelona,2008,96,Comedy, Drama, Romance,7.1,260494,Woody Allen,Rebecca Hall,Scarlett Johansson,Javier Bardem,Christopher Evan Welch
93,Forgetting Sarah Marshall,2008,111,Comedy, Drama, Romance,7.1,291143,Nicholas Stoller,Kristen Bell,Jason Segel,Paul Rudd,Mila Kunis
94,Valkyrie,2008,121,Drama, History, Thriller,7.1,249592,Bryan Singer,Tom Cruise,Bill Nighy,Carice van Houten,Kenneth Branagh
95,Defiance,2008,137,Action, Drama, History,7.1,151369,Edward Zwick,Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos
96,"Definitely, Maybe",2008,112,Comedy, Drama, Romance,7.1,168925,Adam Brooks,Ryan Reynolds,Rachel Weisz,Abigail Breslin,An Nguyen
97,Wendy and Lucy,2008,80,Drama,,,7.1,18888,Kelly Reichardt,Michelle Williams,Lucy,David Koppell,Max Clement
98,Welcome to the Sticks,2008,106,Comedy, Romance,,7.1,43346,Dany Boon,Kad Merad,Dany Boon,Zoé Félix,Lorenzo Ausilia-Foret
99,Che: Part One,2008,134,Biography, Drama, History,7.1,46918,Steven Soderbergh,Julia Ormond,Benicio Del Toro,Oscar Isaac,Pablo Guevara
100,JCVD,2008,97,Action, Comedy, Crime,7.1,39523,Mabrouk El Mechri,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Rock Chen
101,Forever Strong,2008,112,Drama, Sport,,7.1,10874,Ryan Little,Sean Faris,Penn Badgley,Gary Cole,Sean Astin
102,Frozen River,2008,97,Crime, Drama,,7.1,26032,Courtney Hunt,Melissa Leo,Misty Upham,Charlie McDermott,Michael O'Keefe
103,Lorna's Silence,2008,105,Drama,,,7.1,9010,Jean-Pierre Dardenne,Luc Dardenne,Arta Dobroshi,Jérémie Renier,Fabrizio Rongione
104,35 Shots of Rum,2008,100,Drama,,,7.1,5040,Claire Denis,Alex Descas,Mati Diop,Nicole Dogué,Grégoire Colin
105,Anything for Her,2008,96,Crime, Drama, Thriller,7.1,9495,Fred Cavayé,Vincent Lindon,Diane Kruger,Lancelot Roch,Olivier Marchal
106,Última Parada 174,2008,110,Crime, Drama, Thriller,7.1,5361,Bruno Barreto,Michel Gomes,Cris Vianna,Marcello Melo Jr.,Gabriela Luiz
107,Hipsters,2008,130,Drama, Musical, Romance,7.1,5069,Valeriy Todorovskiy,Anton Shagin,Oksana Akinshina,Evgenia Brik,Maksim Matveev
108,Martyrs,2008,99,Horror,,,7.0,98703,Pascal Laugier,Morjana Alaoui,Mylène Jampanoï,Catherine Bégin,Robert Toupin
109,Cloverfield,2008,85,Action, Adventure, Horror,7.0,406801,Matt Reeves,Mike Vogel,Jessica Lucas,Lizzy Caplan,T.J. Miller
110,Bronson,2008,92,Action, Crime, Drama,7.0,134996,Nicolas Winding Refn,Tom Hardy,Kelly Adams,Luing Andrews,Katy Barker
111,Rambo,2008,92,Action, Adventure, Thriller,7.0,236792,Sylvester Stallone,Sylvester Stallone,Julie Benz,Matthew Marsden,Graham McTavish
112,Burn After Reading,2008,96,Comedy, Crime, Drama,7.0,339642,Ethan Coen,Joel Coen,Brad Pitt,Frances McDormand,George Clooney
113,Hellboy II: The Golden Army,2008,120,Action, Adventure, Fantasy,7.0,277195,Guillermo del Toro,Ron Perlman,Selma Blair,Doug Jones,John Alexander
114,Body of Lies,2008,128,Action, Drama, Thriller,7.0,232351,Ridley Scott,Leonardo DiCaprio,Russell Crowe,Mark Strong,Golshifteh Farahani
115,Marley & Me,2008,115,Drama, Family,,7.0,161744,David Frankel,Owen Wilson,Jennifer Aniston,Eric Dane,Kathleen Turner
116,Miss Pettigrew Lives for a Day,2008,92,Comedy, Romance,,7.0,29033,Bharat Nalluri,Frances McDormand,Amy Adams,Ciarán Hinds,David Alexander
117,Two Lovers,2008,110,Drama, Romance,,7.0,42004,James Gray,Joaquin Phoenix,Gwyneth Paltrow,Vinessa Shaw,Anne Joyce
118,Gomorrah,2008,137,Crime, Drama,,7.0,49900,Matteo Garrone,Gianfelice Imparato,Salvatore Abbruzzese,Toni Servillo,Simone Sacchettino
119,Happy-Go-Lucky,2008,118,Comedy, Drama, Romance,7.0,40253,Mike Leigh,Sally Hawkins,Alexis Zegerman,Samuel Roukin,Elliot Cowan
120,Cadillac Records,2008,109,Biography, Drama, Music,7.0,22327,Darnell Martin,Adrien Brody,Jeffrey Wright,Beyoncé,Columbus Short
121,Red,2008,93,Drama, Thriller,,7.0,11418,Trygve Allister Diesen,Lucky McKee,Brian Cox,Noel Fisher,Kyle Gallner
122,Involuntary,2008,98,Drama,,,7.0,5832,Ruben Östlund,Villmar Björkman,Linnea Cart-Lamy,Leif Edlund,Sara Eriksson
123,Tokyo!,2008,112,Comedy, Drama, Fantasy,7.0,11341,Leos Carax,Michel Gondry,Bong Joon Ho,Ayako Fujitani,Ryô Kase
124,Flash of Genius,2008,119,Biography, Drama,,7.0,17410,Marc Abraham,Greg Kinnear,Lauren Graham,Alan Alda,Tim Eddis
125,One Week,2008,94,Adventure, Drama,,7.0,11870,Michael McGowan,Joshua Jackson,Peter Spence,Marc Strange,Gage Munroe
126,Anonyma - Eine Frau in Berlin,2008,131,Biography, Drama, History,7.0,6791,Max Färberböck,Nina Hoss,Evgeniy Sidikhin,Irm Hermann,Rüdiger Vogler
127,Winter in Wartime,2008,103,Drama, History, War,7.0,13177,Martin Koolhoven,Martijn Lakemeier,Jamie Campbell Bower,Yorick van Wageningen,Raymond Thiry
128,Julia,2008,144,Crime, Drama, Thriller,7.0,6762,Erick Zonca,Tilda Swinton,Saul Rubinek,Kate del Castillo,Aidan Gould
129,The Children of Huang Shi,2008,125,Drama, War,,7.0,9819,Roger Spottiswoode,Jonathan Rhys Meyers,Radha Mitchell,Chow Yun-Fat,Michelle Yeoh
130,A Christmas Tale,2008,150,Comedy, Drama,,7.0,7349,Arnaud Desplechin,Catherine Deneuve,Jean-Paul Roussillon,Mathieu Amalric,Anne Consigny
131,Phoebe in Wonderland,2008,96,Drama,,,7.0,7909,Daniel Barnz,Elle Fanning,Patricia Clarkson,Felicity Huffman,Bill Pullman
132,Günesin Oglu,2008,89,Comedy, Fantasy,,7.0,5851,Onur Ünlü,Haluk Bilginer,Özgü Namal,Köksal Engür,Bülent Emin Yarar
133,Step Brothers,2008,98,Comedy,,,6.9,303310,Adam McKay,Will Ferrell,John C. Reilly,Mary Steenburgen,Richard Jenkins
134,Pineapple Express,2008,111,Action, Comedy, Crime,6.9,346362,David Gordon Green,Seth Rogen,James Franco,Gary Cole,Danny McBride
135,The Duchess,2008,110,Biography, Drama, History,6.9,84992,Saul Dibb,Keira Knightley,Ralph Fiennes,Dominic Cooper,Charlotte Rampling
136,Traitor,2008,114,Action, Crime, Drama,6.9,58358,Jeffrey Nachmanoff,Don Cheadle,Guy Pearce,Archie Panjabi,Saïd Taghmaoui
137,Chocolate,2008,110,Action, Drama,,6.9,18474,Prachya Pinkaew,JeeJa Yanin,Hiroshi Abe,Pongpat Wachirabunjong,Taphon Phopwandee
138,The Wackness,2008,99,Comedy, Drama, Romance,6.9,30968,Jonathan Levine,Josh Peck,Ben Kingsley,Olivia Thirlby,Famke Janssen
139,Fashion,2008,167,Drama, Romance,,6.9,12783,Madhur Bhandarkar,Priyanka Chopra Jonas,Kangana Ranaut,Mugdha Godse,Arbaaz Khan
140,Jannat: In Search of Heaven...,2008,140,Crime, Drama, Romance,6.9,6846,Kunal Deshmukh,Emraan Hashmi,Sonal Chauhan,Armen Greyg,Randeep Hooda
141,"Patrik, Age 1.5",2008,103,Comedy, Drama, Romance,6.9,10151,Ella Lemhagen,Gustaf Skarsgård,Torkel Petersson,Tom Ljungman,Amanda Davin
142,Bolt,2008,96,Animation, Adventure, Comedy,6.8,217473,Byron Howard,Chris Williams,John Travolta,Miley Cyrus,Susie Essman
143,Role Models,2008,99,Comedy,,,6.8,234915,David Wain,Paul Rudd,Seann William Scott,Elizabeth Banks,Christopher Mintz-Plasse
144,21,2008,123,Crime, Drama, History,6.8,257471,Robert Luketic,Jim Sturgess,Kate Bosworth,Kevin Spacey,Aaron Yoo
145,Street Kings,2008,109,Action, Crime, Thriller,6.8,116181,David Ayer,Keanu Reeves,Forest Whitaker,Hugh Laurie,Chris Evans
146,Horton Hears a Who!,2008,86,Animation, Adventure, Comedy,6.8,144442,Jimmy Hayward,Steve Martino,Jim Carrey,Steve Carell,Carol Burnett
147,Yes Man,2008,104,Comedy, Romance,,6.8,369641,Peyton Reed,Jim Carrey,Zooey Deschanel,Bradley Cooper,John Michael Higgins
148,Bottle Shock,2008,110,Comedy, Drama,,6.8,17117,Randall Miller,Chris Pine,Alan Rickman,Bill Pullman,Hal B. Klein
149,The Burning Plain,2008,107,Crime, Drama, Romance,6.8,20620,Guillermo Arriaga,Charlize Theron,John Corbett,José María Yazpik,Robin Tunney
150,Sunshine Cleaning,2008,91,Comedy, Drama,,6.8,72579,Christine Jeffs,Amy Adams,Emily Blunt,Alan Arkin,Jason Spevack
151,Paris,2008,130,Comedy, Drama, Romance,6.8,12666,Cédric Klapisch,Fabrice Luchini,Romain Duris,Joffrey Platel,Mélanie Laurent
152,Lymelife,2008,95,Comedy, Drama, Romance,6.8,14395,Derick Martini,Rory Culkin,Alec Baldwin,Jill Hennessy,Emma Roberts
153,Che: Part Two,2008,135,Biography, Drama, History,6.8,34287,Steven Soderbergh,Demián Bichir,Rodrigo Santoro,Benicio Del Toro,Catalina Sandino Moreno
154,Flashbacks of a Fool,2008,109,Drama,,,6.8,12681,Baillie Walsh,Daniel Craig,Harry Eden,Eve,Olivia Williams
155,Fifty Dead Men Walking,2008,117,Crime, Drama, Thriller,6.8,11426,Kari Skogland,Ben Kingsley,Jim Sturgess,Kevin Zegers,Natalie Press
156,Alone,2008,113,Drama, Romance,,6.8,21368,Çagan Irmak,Melis Birkan,Cemal Hünal,Yildiz Kültür,Serif Bozkurt
157,Terribly Happy,2008,99,Crime, Drama, Thriller,6.8,6706,Henrik Ruben Genz,Jakob Cedergren,Lene Maria Christensen,Kim Bodnia,Lars Brygmann
158,Somers Town,2008,71,Comedy, Drama,,6.8,6598,Shane Meadows,Piotr Jagiello,Ireneusz Czop,Perry Benson,Thomas Turgoose
159,Were the World Mine,2008,95,Adventure, Comedy, Fantasy,6.8,5773,Tom Gustafson,Tanner Cohen,Wendy Robie,Judy McLane,Zelda Williams
160,Eden Lake,2008,91,Horror, Thriller,,6.7,88337,James Watkins,Kelly Reilly,Michael Fassbender,Tara Ellis,Jack O'Connell
161,The Other Boleyn Girl,2008,115,Biography, Drama, History,6.7,115688,Justin Chadwick,Natalie Portman,Scarlett Johansson,Eric Bana,Jim Sturgess
162,Wanted,2008,110,Action, Crime, Thriller,6.7,396110,Timur Bekmambetov,Angelina Jolie,James McAvoy,Morgan Freeman,Terence Stamp
163,Appaloosa,2008,115,Action, Crime, Drama,6.7,62590,Ed Harris,Ed Harris,Viggo Mortensen,Renée Zellweger,Jeremy Irons
164,Ghost Town,2008,102,Comedy, Drama, Fantasy,6.7,75351,David Koepp,Ricky Gervais,Greg Kinnear,Téa Leoni,Jordan Carlos
165,Rachel Getting Married,2008,113,Drama, Romance,,6.7,50113,Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Debra Winger,Sebastian Stan
166,Elegy,2008,112,Drama, Romance,,6.7,22853,Isabel Coixet,Ben Kingsley,Penélope Cruz,Patricia Clarkson,Dennis Hopper
167,The Brothers Bloom,2008,114,Action, Adventure, Comedy,6.7,51580,Rian Johnson,Rachel Weisz,Adrien Brody,Mark Ruffalo,Rinko Kikuchi
168,Brideshead Revisited,2008,133,Drama, Romance,,6.7,13295,Julian Jarrold,Matthew Goode,Patrick Malahide,Hayley Atwell,Thomas Morrison
169,Female Agents,2008,148,Drama, War,,6.7,7749,Jean-Paul Salomé,Sophie Marceau,Julie Depardieu,Moritz Bleibtreu,Marie Gillain
170,Redbelt,2008,99,Drama, Sport,,6.7,21258,David Mamet,Chiwetel Ejiofor,Tim Allen,Emily Mortimer,Max Martini
171,Me and Orson Welles,2008,114,Comedy, Drama,,6.7,11569,Richard Linklater,Zac Efron,Claire Danes,Christian McKay,Zoe Kazan
172,The Square,2008,105,Crime, Drama, Thriller,6.7,6139,Nash Edgerton,David Roberts,Claire van der Boom,Joel Edgerton,Anthony Hayes
173,The Escapist,2008,102,Crime, Drama, Thriller,6.7,17146,Rupert Wyatt,Brian Cox,Damian Lewis,Joseph Fiennes,Seu Jorge
174,The Yellow Handkerchief,2008,102,Adventure, Drama, Romance,6.7,8723,Udayan Prasad,William Hurt,Maria Bello,Kristen Stewart,Eddie Redmayne
175,Rudo y Cursi,2008,103,Comedy, Drama, Sport,6.7,9110,Carlos Cuarón,Gael García Bernal,Diego Luna,Guillermo Francella,Dolores Heredia
176,Admiral,2008,124,Biography, Drama, History,6.7,8375,Andrey Kravchuk,Konstantin Khabenskiy,Elizaveta Boyarskaya,Sergey Bezrukov,Vladislav Vetrov
177,Sarkar Raj,2008,125,Action, Crime, Drama,6.7,7702,Ram Gopal Varma,Amitabh Bachchan,Abhishek Bachchan,Aishwarya Rai Bachchan,Ravi Kale
178,The Sky Crawlers,2008,122,Animation, Drama, Sci-Fi,6.7,5741,Mamoru Oshii,Rinko Kikuchi,Ryô Kase,Shôsuke Tanihara,Megumi Yamaguchi
179,The Incredible Hulk,2008,112,Action, Adventure, Sci-Fi,6.6,502297,Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt
180,Quantum of Solace,2008,106,Action, Adventure, Mystery,6.6,456055,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench
181,Madagascar: Escape 2 Africa,2008,89,Animation, Adventure, Comedy,6.6,234790,Eric Darnell,Tom McGrath,Ben Stiller,Chris Rock,David Schwimmer
182,Australia,2008,165,Adventure, Drama, Romance,6.6,126587,Baz Luhrmann,Nicole Kidman,Hugh Jackman,Shea Adams,Eddie Baroo
183,Eagle Eye,2008,118,Action, Mystery, Thriller,6.6,190286,D.J. Caruso,Shia LaBeouf,Michelle Monaghan,Rosario Dawson,Michael Chiklis
184,Pride and Glory,2008,130,Crime, Drama, Thriller,6.6,62006,Gavin O'Connor,Edward Norton,Colin Farrell,Noah Emmerich,Jon Voight
185,Nick and Norah's Infinite Playlist,2008,90,Comedy, Drama, Music,6.6,93762,Peter Sollett,Michael Cera,Kat Dennings,Aaron Yoo,Rafi Gavron
186,Vantage Point,2008,90,Action, Crime, Drama,6.6,151898,Pete Travis,Dennis Quaid,Forest Whitaker,Matthew Fox,Bruce McGill
187,Transsiberian,2008,111,Crime, Drama, Mystery,6.6,53766,Brad Anderson,Woody Harrelson,Emily Mortimer,Ben Kingsley,Kate Mara
188,Easy Virtue,2008,97,Comedy, Romance,,6.6,21828,Stephan Elliott,Jessica Biel,Ben Barnes,Kristin Scott Thomas,Colin Firth
189,The Beautiful Person,2008,97,Comedy, Drama,,6.6,7509,Christophe Honoré,Louis Garrel,Léa Seydoux,Grégoire Leprince-Ringuet,Esteban Carvajal-Alegria
190,Arn: The Kingdom at the End of the Road,2008,128,Action, Drama, Romance,6.6,8299,Peter Flinth,Joakim Nätterqvist,Sofia Helin,Stellan Skarsgård,Bibi Andersson
191,Last Chance Harvey,2008,93,Drama, Romance,,6.6,21928,Joel Hopkins,Dustin Hoffman,Emma Thompson,Kathy Baker,Eileen Atkins
192,What Doesn't Kill You,2008,100,Crime, Drama, Thriller,6.6,12813,Brian Goodman,Ethan Hawke,Mark Ruffalo,Brian Goodman,Amanda Peet
193,Adulthood,2008,99,Crime, Drama,,6.6,12912,Noel Clarke,Noel Clarke,Scarlett Alice Johnson,Adam Deacon,Jacob Anderson
194,Dragon Hunters,2008,80,Animation, Action, Adventure,6.6,13014,Guillaume Ivernel,Arthur Qwak,Vincent Lindon,Patrick Timsit,Philippe Nahon
195,Race,2008,149,Action, Crime, Drama,6.6,15301,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna,Bipasha Basu
196,The Last Deadly Mission,2008,125,Crime, Drama, Thriller,6.6,6317,Olivier Marchal,Daniel Auteuil,Olivia Bonamy,Catherine Marchal,Francis Renaud
197,Mamma Mia!,2008,108,Comedy, Musical, Romance,6.5,254321,Phyllida Lloyd,Meryl Streep,Pierce Brosnan,Amanda Seyfried,Stellan Skarsgård
