Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
162,2008,https://www.imdb.com/title/tt0493464/?ref_=adv_li_tt,Wanted,110,"Action, Crime, Thriller",6.7,64.0,396110,134.51M,Timur Bekmambetov,Angelina Jolie,James McAvoy,Morgan Freeman,Terence Stamp
163,2008,https://www.imdb.com/title/tt0800308/?ref_=adv_li_tt,Appaloosa,115,"Action, Crime, Drama",6.7,64.0,62590,20.21M,Ed Harris,Ed Harris,Viggo Mortensen,Renée Zellweger,Jeremy Irons
164,2008,https://www.imdb.com/title/tt0995039/?ref_=adv_li_tt,Ghost Town,102,"Comedy, Drama, Fantasy",6.7,72.0,75351,13.21M,David Koepp,Ricky Gervais,Greg Kinnear,Téa Leoni,Jordan Carlos
165,2008,https://www.imdb.com/title/tt1084950/?ref_=adv_li_tt,Rachel Getting Married,113,"Drama, Romance",6.7,83.0,50113,12.80M,Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Debra Winger,Sebastian Stan
166,2008,https://www.imdb.com/title/tt0974554/?ref_=adv_li_tt,Elegy,112,"Drama, Romance",6.7,66.0,22853,3.58M,Isabel Coixet,Ben Kingsley,Penélope Cruz,Patricia Clarkson,Dennis Hopper
167,2008,https://www.imdb.com/title/tt0844286/?ref_=adv_li_tt,The Brothers Bloom,114,"Action, Adventure, Comedy",6.7,55.0,51580,3.52M,Rian Johnson,Rachel Weisz,Adrien Brody,Mark Ruffalo,Rinko Kikuchi
168,2008,https://www.imdb.com/title/tt0412536/?ref_=adv_li_tt,Brideshead Revisited,133,"Drama, Romance",6.7,64.0,13295,6.41M,Julian Jarrold,Matthew Goode,Patrick Malahide,Hayley Atwell,Thomas Morrison
169,2008,https://www.imdb.com/title/tt0824330/?ref_=adv_li_tt,Female Agents,148,"Drama, War",6.7,,7749,,Jean-Paul Salomé,Sophie Marceau,Julie Depardieu,Moritz Bleibtreu,Marie Gillain
170,2008,https://www.imdb.com/title/tt1012804/?ref_=adv_li_tt,Redbelt,99,"Drama, Sport",6.7,69.0,21258,2.34M,David Mamet,Chiwetel Ejiofor,Tim Allen,Emily Mortimer,Max Martini
171,2008,https://www.imdb.com/title/tt1175506/?ref_=adv_li_tt,Me and Orson Welles,114,"Comedy, Drama",6.7,73.0,11569,1.19M,Richard Linklater,Zac Efron,Claire Danes,Christian McKay,Zoe Kazan
172,2008,https://www.imdb.com/title/tt1085507/?ref_=adv_li_tt,The Square,105,"Crime, Drama, Thriller",6.7,75.0,6139,0.05M,Nash Edgerton,David Roberts,Claire van der Boom,Joel Edgerton,Anthony Hayes
173,2008,https://www.imdb.com/title/tt0961728/?ref_=adv_li_tt,The Escapist,102,"Crime, Drama, Thriller",6.7,56.0,17146,0.01M,Rupert Wyatt,Brian Cox,Damian Lewis,Joseph Fiennes,Seu Jorge
174,2008,https://www.imdb.com/title/tt0954990/?ref_=adv_li_tt,The Yellow Handkerchief,102,"Adventure, Drama, Romance",6.7,62.0,8723,0.32M,Udayan Prasad,William Hurt,Maria Bello,Kristen Stewart,Eddie Redmayne
175,2008,https://www.imdb.com/title/tt0405393/?ref_=adv_li_tt,Rudo y Cursi,103,"Comedy, Drama, Sport",6.7,67.0,9110,1.83M,Carlos Cuarón,Gael García Bernal,Diego Luna,Guillermo Francella,Dolores Heredia
176,2008,https://www.imdb.com/title/tt1101026/?ref_=adv_li_tt,Admiral,124,"Biography, Drama, History",6.7,,8375,,Andrey Kravchuk,Konstantin Khabenskiy,Elizaveta Boyarskaya,Sergey Bezrukov,Vladislav Vetrov
177,2008,https://www.imdb.com/title/tt0490210/?ref_=adv_li_tt,Sarkar Raj,125,"Action, Crime, Drama",6.7,,7702,1.01M,Ram Gopal Varma,Amitabh Bachchan,Abhishek Bachchan,Aishwarya Rai Bachchan,Ravi Kale
178,2008,https://www.imdb.com/title/tt1056437/?ref_=adv_li_tt,The Sky Crawlers,122,"Animation, Drama, Sci-Fi",6.7,,5741,,Mamoru Oshii,Rinko Kikuchi,Ryô Kase,Shôsuke Tanihara,Megumi Yamaguchi
179,2008,https://www.imdb.com/title/tt0800080/?ref_=adv_li_tt,The Incredible Hulk,112,"Action, Adventure, Sci-Fi",6.6,61.0,502297,134.52M,Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt
180,2008,https://www.imdb.com/title/tt0830515/?ref_=adv_li_tt,Quantum of Solace,106,"Action, Adventure, Mystery",6.6,58.0,456055,168.37M,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench
181,2008,https://www.imdb.com/title/tt0479952/?ref_=adv_li_tt,Madagascar: Escape 2 Africa,89,"Animation, Adventure, Comedy",6.6,61.0,234790,180.01M,Eric Darnell,Tom McGrath,Ben Stiller,Chris Rock,David Schwimmer
182,2008,https://www.imdb.com/title/tt0455824/?ref_=adv_li_tt,Australia,165,"Adventure, Drama, Romance",6.6,53.0,126587,49.55M,Baz Luhrmann,Nicole Kidman,Hugh Jackman,Shea Adams,Eddie Baroo
183,2008,https://www.imdb.com/title/tt1059786/?ref_=adv_li_tt,Eagle Eye,118,"Action, Mystery, Thriller",6.6,43.0,190286,101.11M,D.J. Caruso,Shia LaBeouf,Michelle Monaghan,Rosario Dawson,Michael Chiklis
184,2008,https://www.imdb.com/title/tt0482572/?ref_=adv_li_tt,Pride and Glory,130,"Crime, Drama, Thriller",6.6,45.0,62006,15.71M,Gavin O'Connor,Edward Norton,Colin Farrell,Noah Emmerich,Jon Voight
185,2008,https://www.imdb.com/title/tt0981227/?ref_=adv_li_tt,Nick and Norah's Infinite Playlist,90,"Comedy, Drama, Music",6.6,64.0,93762,31.49M,Peter Sollett,Michael Cera,Kat Dennings,Aaron Yoo,Rafi Gavron
186,2008,https://www.imdb.com/title/tt0443274/?ref_=adv_li_tt,Vantage Point,90,"Action, Crime, Drama",6.6,40.0,151898,72.27M,Pete Travis,Dennis Quaid,Forest Whitaker,Matthew Fox,Bruce McGill
187,2008,https://www.imdb.com/title/tt0800241/?ref_=adv_li_tt,Transsiberian,111,"Crime, Drama, Mystery",6.6,72.0,53766,2.20M,Brad Anderson,Woody Harrelson,Emily Mortimer,Ben Kingsley,Kate Mara
188,2008,https://www.imdb.com/title/tt0808244/?ref_=adv_li_tt,Easy Virtue,97,"Comedy, Romance",6.6,58.0,21828,2.66M,Stephan Elliott,Jessica Biel,Ben Barnes,Kristin Scott Thomas,Colin Firth
189,2008,https://www.imdb.com/title/tt1263778/?ref_=adv_li_tt,The Beautiful Person,97,"Comedy, Drama",6.6,,7509,,Christophe Honoré,Louis Garrel,Léa Seydoux,Grégoire Leprince-Ringuet,Esteban Carvajal-Alegria
190,2008,https://www.imdb.com/title/tt0950739/?ref_=adv_li_tt,Arn: The Kingdom at the End of the Road,128,"Action, Drama, Romance",6.6,,8299,,Peter Flinth,Joakim Nätterqvist,Sofia Helin,Stellan Skarsgård,Bibi Andersson
191,2008,https://www.imdb.com/title/tt1046947/?ref_=adv_li_tt,Last Chance Harvey,93,"Drama, Romance",6.6,57.0,21928,14.88M,Joel Hopkins,Dustin Hoffman,Emma Thompson,Kathy Baker,Eileen Atkins
192,2008,https://www.imdb.com/title/tt1133991/?ref_=adv_li_tt,What Doesn't Kill You,100,"Crime, Drama, Thriller",6.6,71.0,12813,,Brian Goodman,Ethan Hawke,Mark Ruffalo,Brian Goodman,Amanda Peet
193,2008,https://www.imdb.com/title/tt1126596/?ref_=adv_li_tt,Adulthood,99,"Crime, Drama",6.6,,12912,,Noel Clarke,Noel Clarke,Scarlett Alice Johnson,Adam Deacon,Jacob Anderson
194,2008,https://www.imdb.com/title/tt0944834/?ref_=adv_li_tt,Dragon Hunters,80,"Animation, Action, Adventure",6.6,,13014,,Guillaume Ivernel,Arthur Qwak,Vincent Lindon,Patrick Timsit,Philippe Nahon
195,2008,https://www.imdb.com/title/tt1017456/?ref_=adv_li_tt,Race,149,"Action, Crime, Drama",6.6,,15301,1.37M,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna,Bipasha Basu
196,2008,https://www.imdb.com/title/tt0920470/?ref_=adv_li_tt,The Last Deadly Mission,125,"Crime, Drama, Thriller",6.6,,6317,,Olivier Marchal,Daniel Auteuil,Olivia Bonamy,Catherine Marchal,Francis Renaud
197,2008,https://www.imdb.com/title/tt0795421/?ref_=adv_li_tt,Mamma Mia!,108,"Comedy, Musical, Romance",6.5,51.0,254321,144.13M,Phyllida Lloyd,Meryl Streep,Pierce Brosnan,Amanda Seyfried,Stellan Skarsgård
198,2008,https://www.imdb.com/title/tt0499448/?ref_=adv_li_tt,The Chronicles of Narnia: Prince Caspian,150,"Action, Adventure, Family",6.5,62.0,215986,141.62M,Andrew Adamson,Ben Barnes,Skandar Keynes,Georgie Henley,William Moseley
199,2008,https://www.imdb.com/title/tt1007028/?ref_=adv_li_tt,Zack and Miri Make a Porno,101,"Comedy, Romance",6.5,56.0,179649,31.46M,Kevin Smith,Seth Rogen,Elizabeth Banks,Craig Robinson,Gerry Bednob
200,2008,https://www.imdb.com/title/tt1135985/?ref_=adv_li_tt,Sex Drive,109,"Comedy, Romance",6.5,49.0,89006,8.40M,Sean Anders,Josh Zuckerman,Clark Duke,Amanda Crew,James Marsden
201,2008,https://www.imdb.com/title/tt1023111/?ref_=adv_li_tt,Never Back Down,113,"Action, Drama, Sport",6.5,39.0,103474,24.85M,Jeff Wadlow,Sean Faris,Djimon Hounsou,Amber Heard,Cam Gigandet
202,2008,https://www.imdb.com/title/tt0416236/?ref_=adv_li_tt,The Spiderwick Chronicles,96,"Action, Adventure, Drama",6.5,62.0,98621,71.20M,Mark Waters,Freddie Highmore,Sarah Bolger,David Strathairn,Mary-Louise Parker
203,2008,https://www.imdb.com/title/tt0425061/?ref_=adv_li_tt,Get Smart,110,"Action, Adventure, Comedy",6.5,54.0,221783,130.32M,Peter Segal,Steve Carell,Anne Hathaway,Alan Arkin,Dwayne Johnson
204,2008,https://www.imdb.com/title/tt0865556/?ref_=adv_li_tt,The Forbidden Kingdom,104,"Action, Adventure, Fantasy",6.5,57.0,107179,52.08M,Rob Minkoff,Jackie Chan,Jet Li,Michael Angarano,Juana Collignon
205,2008,https://www.imdb.com/title/tt0481536/?ref_=adv_li_tt,Harold & Kumar Escape from Guantanamo Bay,114,"Adventure, Comedy",6.5,57.0,139222,38.09M,Jon Hurwitz,Hayden Schlossberg,John Cho,Kal Penn,Neil Patrick Harris
206,2008,https://www.imdb.com/title/tt0830570/?ref_=adv_li_tt,I Can't Think Straight,82,"Drama, Romance",6.5,,8941,0.04M,Shamim Sarif,Lisa Ray,Sheetal Sheth,Antonia Frering,Dalip Tahil
207,2008,https://www.imdb.com/title/tt1226681/?ref_=adv_li_tt,Pontypool,93,"Horror, Sci-Fi",6.5,54.0,33477,,Bruce McDonald,Stephen McHattie,Lisa Houle,Georgina Reilly,Hrant Alianak
208,2008,https://www.imdb.com/title/tt0861689/?ref_=adv_li_tt,Blindness,121,"Drama, Mystery, Thriller",6.5,45.0,73860,3.07M,Fernando Meirelles,Julianne Moore,Mark Ruffalo,Gael García Bernal,Yûsuke Iseya
209,2008,https://www.imdb.com/title/tt1185420/?ref_=adv_li_tt,Dostana,145,"Comedy, Drama, Romance",6.5,,15553,1.24M,Tarun Mansukhani,Punit Malhotra,Abhishek Bachchan,John Abraham,Priyanka Chopra Jonas
210,2008,https://www.imdb.com/title/tt0846308/?ref_=adv_li_tt,Kit Kittredge: An American Girl,101,"Comedy, Drama, Family",6.5,63.0,6156,17.66M,Patricia Rozema,Abigail Breslin,Stanley Tucci,Joan Cusack,Julia Ormond
211,2008,https://www.imdb.com/title/tt1060255/?ref_=adv_li_tt,The Horseman,96,"Crime, Thriller",6.5,,5185,,Steven Kastrissios,Peter Marshall,Caroline Marohasy,Brad McMurray,Jack Henry
212,2008,https://www.imdb.com/title/tt1221141/?ref_=adv_li_tt,La mujer sin cabeza,87,"Drama, Mystery, Thriller",6.5,81.0,5455,0.10M,Lucrecia Martel,María Onetto,Claudia Cantero,César Bordón,Daniel Genoud
213,2008,https://www.imdb.com/title/tt0445953/?ref_=adv_li_tt,Disgrace,119,Drama,6.5,71.0,5614,0.07M,Steve Jacobs,John Malkovich,Natalie Becker,Jessica Haines,Eriq Ebouaney
214,2008,https://www.imdb.com/title/tt0448157/?ref_=adv_li_tt,Hancock,92,"Action, Comedy, Drama",6.4,49.0,492477,227.95M,Peter Berg,Will Smith,Charlize Theron,Jason Bateman,Jae Head
215,2008,https://www.imdb.com/title/tt0452608/?ref_=adv_li_tt,Death Race,105,"Action, Sci-Fi, Thriller",6.4,43.0,212737,36.32M,Paul W.S. Anderson,Jason Statham,Joan Allen,Tyrese Gibson,Ian McShane
216,2008,https://www.imdb.com/title/tt0970411/?ref_=adv_li_tt,City of Ember,90,"Adventure, Drama, Family",6.4,58.0,67510,7.87M,Gil Kenan,Saoirse Ronan,Toby Jones,Bill Murray,David Ryall
217,2008,https://www.imdb.com/title/tt0963194/?ref_=adv_li_tt,Repo! The Genetic Opera,98,"Horror, Musical, Sci-Fi",6.4,32.0,25658,0.14M,Darren Lynn Bousman,Paul Sorvino,Anthony Head,Alexa PenaVega,Sarah Brightman
218,2008,https://www.imdb.com/title/tt1129423/?ref_=adv_li_tt,Fireproof,122,"Drama, Romance",6.4,28.0,23357,33.46M,Alex Kendrick,Kirk Cameron,Erin Bethea,Ken Bevel,Stephen Dervan
219,2008,https://www.imdb.com/title/tt0455538/?ref_=adv_li_tt,How to Lose Friends & Alienate People,110,"Biography, Comedy, Drama",6.4,35.0,70180,2.78M,Robert B. Weide,Simon Pegg,Kirsten Dunst,Megan Fox,Kelan Guy
220,2008,https://www.imdb.com/title/tt0799934/?ref_=adv_li_tt,Be Kind Rewind,102,Comedy,6.4,52.0,92324,11.17M,Michel Gondry,Jack Black,Yasiin Bey,Danny Glover,Mia Farrow
221,2008,https://www.imdb.com/title/tt1024715/?ref_=adv_li_tt,Choke,92,"Comedy, Drama",6.4,47.0,32995,2.93M,Clark Gregg,Sam Rockwell,Anjelica Huston,Kelly Macdonald,Kathryn Alexander
222,2008,https://www.imdb.com/title/tt1174954/?ref_=adv_li_tt,Baiohazâdo: Dijenerêshon,97,"Animation, Action, Horror",6.4,,32037,,Makoto Kamiya,Paul Mercier,Alyson Court,Laura Bailey,Roger Craig Smith
223,2008,https://www.imdb.com/title/tt0961108/?ref_=adv_li_tt,Fireflies in the Garden,99,Drama,6.4,34.0,13222,3.39M,Dennis Lee,Ryan Reynolds,Willem Dafoe,Emily Watson,Carrie-Anne Moss
224,2008,https://www.imdb.com/title/tt1104083/?ref_=adv_li_tt,Little Ashes,112,"Biography, Drama, History",6.4,41.0,9393,0.48M,Paul Morrison,Robert Pattinson,Javier Beltrán,Matthew McNulty,Marina Gatell
225,2008,https://www.imdb.com/title/tt0489281/?ref_=adv_li_tt,Stop-Loss,112,"Drama, War",6.4,61.0,20553,10.91M,Kimberly Peirce,Ryan Phillippe,Abbie Cornish,Joseph Gordon-Levitt,Rob Brown
226,2008,https://www.imdb.com/title/tt1111948/?ref_=adv_li_tt,Soul Men,100,"Comedy, Drama, Music",6.4,49.0,11298,12.08M,Malcolm D. Lee,Samuel L. Jackson,Bernie Mac,Sharon Leal,Adam Herschman
227,2008,https://www.imdb.com/title/tt0954981/?ref_=adv_li_tt,Cass,108,"Biography, Crime, Drama",6.4,,6395,,Jon S. Baird,Nonso Anozie,Gavin Brocker,Leo Gregory,Natalie Press
228,2008,https://www.imdb.com/title/tt0940709/?ref_=adv_li_tt,Cheung gong 7 hou,88,"Adventure, Comedy, Drama",6.4,46.0,16404,0.21M,Stephen Chow,Stephen Chow,Yuqi Zhang,Jiao Xu,Lei Huang
229,2008,https://www.imdb.com/title/tt1092082/?ref_=adv_li_tt,Passchendaele,114,"Drama, History, Romance",6.4,,8556,,Paul Gross,Paul Gross,Michael Greyeyes,James Kot,Jesse Frechette
230,2008,https://www.imdb.com/title/tt0460810/?ref_=adv_li_tt,The Great Buck Howard,90,"Adventure, Comedy, Drama",6.4,63.0,14370,0.75M,Sean McGinly,Colin Hanks,John Malkovich,Tom Hanks,Emily Blunt
231,2008,https://www.imdb.com/title/tt1029120/?ref_=adv_li_tt,Henry Poole Is Here,99,"Comedy, Drama",6.4,44.0,12849,1.84M,Mark Pellington,Luke Wilson,Radha Mitchell,George Lopez,Adriana Barraza
232,2008,https://www.imdb.com/title/tt0808339/?ref_=adv_li_tt,Largo Winch,108,"Action, Thriller",6.4,40.0,14411,0.01M,Jérôme Salle,Tomer Sisley,Kristin Scott Thomas,Predrag 'Miki' Manojlovic,Mélanie Thierry
233,2008,https://www.imdb.com/title/tt1202363/?ref_=adv_li_tt,O... Çocuklari,120,"Comedy, Drama",6.4,,5362,,Murat Saraçoglu,Demet Akbag,Özgü Namal,Sarp Apak,Altan Erkekli
234,2008,https://www.imdb.com/title/tt0816556/?ref_=adv_li_tt,Lake Mungo,87,"Drama, Horror, Mystery",6.3,,24985,,Joel Anderson,Rosie Traynor,David Pledger,Martin Sharpe,Talia Zucker
235,2008,https://www.imdb.com/title/tt0963743/?ref_=adv_li_tt,"Angus, Thongs and Perfect Snogging",100,"Comedy, Drama, Romance",6.3,,28938,,Gurinder Chadha,Georgia Groome,Aaron Taylor-Johnson,Karen Taylor,Alan Davies
236,2008,https://www.imdb.com/title/tt1014806/?ref_=adv_li_tt,The Poker House,93,Drama,6.3,,5609,,Lori Petty,Jennifer Lawrence,Javon Johnson,Sophi Bairley,Bokeem Woodbine
237,2008,https://www.imdb.com/title/tt1175491/?ref_=adv_li_tt,W.,129,"Biography, Comedy, Drama",6.3,56.0,49163,25.53M,Oliver Stone,Josh Brolin,Elizabeth Banks,Ioan Gruffudd,Colin Hanks
238,2008,https://www.imdb.com/title/tt0365675/?ref_=adv_li_tt,Der Rote Baron,106,"Action, Adventure, Biography",6.3,,12725,0.04M,Nikolai Müllerschön,Matthias Schweighöfer,Lena Headey,Til Schweiger,Joseph Fiennes
239,2008,https://www.imdb.com/title/tt0944101/?ref_=adv_li_tt,Good Dick,86,"Comedy, Drama, Romance",6.3,54.0,8141,0.02M,Marianna Palka,Marianna Palka,Jason Ritter,Eric Edelstein,Mark Webber
240,2008,https://www.imdb.com/title/tt0806165/?ref_=adv_li_tt,The Ramen Girl,102,"Comedy, Drama, Romance",6.3,,10569,,Robert Allan Ackerman,Brittany Murphy,Toshiyuki Nishida,Tammy Blanchard,Soji Arai
241,2008,https://www.imdb.com/title/tt1104733/?ref_=adv_li_tt,Hamlet 2,92,"Comedy, Music",6.3,54.0,17147,4.88M,Andrew Fleming,Steve Coogan,Elisabeth Shue,Catherine Keener,J.J. Soria
242,2008,https://www.imdb.com/title/tt0409345/?ref_=adv_li_tt,Surveillance,97,"Crime, Drama, Mystery",6.3,31.0,18056,0.03M,Jennifer Lynch,Julia Ormond,Bill Pullman,Pell James,Caroline Aaron
243,2008,https://www.imdb.com/title/tt1055300/?ref_=adv_li_tt,Hua pi,103,"Action, Drama, Fantasy",6.3,,5077,,Gordon Chan,Andy Wing-Keung Chin,Danny Ko,Donnie Yen,Xun Zhou
244,2008,https://www.imdb.com/title/tt0991346/?ref_=adv_li_tt,Bhootnath,150,"Comedy, Drama, Family",6.3,,10247,,Vivek Sharma,Amitabh Bachchan,Abhinay Raj Singh,Juhi Chawla,Satish Shah
245,2008,https://www.imdb.com/title/tt0367882/?ref_=adv_li_tt,Indiana Jones and the Kingdom of the Crystal Skull,122,"Action, Adventure",6.2,65.0,463062,317.10M,Steven Spielberg,Harrison Ford,Cate Blanchett,Shia LaBeouf,Karen Allen
246,2008,https://www.imdb.com/title/tt0392878/?ref_=adv_li_tt,The Onion Movie,86,Comedy,6.2,,16178,,Tom Kuntz,Mike Maguire,Len Cariou,Sarah McElligott,Amir Talai
247,2008,https://www.imdb.com/title/tt0462465/?ref_=adv_li_tt,Outlander,115,"Action, Adventure, Sci-Fi",6.2,40.0,76811,0.16M,Howard McCain,Jim Caviezel,Sophia Myles,Ron Perlman,Jack Huston
248,2008,https://www.imdb.com/title/tt1018785/?ref_=adv_li_tt,The Sisterhood of the Traveling Pants 2,119,"Comedy, Drama, Romance",6.2,63.0,29913,44.09M,Sanaa Hamri,America Ferrera,Alexis Bledel,Amber Tamblyn,Blake Lively
249,2008,https://www.imdb.com/title/tt1023481/?ref_=adv_li_tt,Step Up 2: The Streets,98,"Drama, Music, Romance",6.2,50.0,88981,58.02M,Jon M. Chu,Robert Hoffman,Briana Evigan,Cassie Ventura,Adam Sevani
250,2008,https://www.imdb.com/title/tt0880578/?ref_=adv_li_tt,Untraceable,101,"Crime, Mystery, Thriller",6.2,32.0,51696,28.69M,Gregory Hoblit,Diane Lane,Colin Hanks,Joseph Cross,Billy Burke
1,2009,https://www.imdb.com/title/tt1621830/?ref_=adv_li_tt,Monpura,136,"Crime, Drama, Musical",8.7,,8302,,Md. Hafizur Rahman,Giasuddin Selim,Chanchal Chowdhury,Farhana Mili,Shirin Alam
2,2009,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt,3 Idiots,170,"Comedy, Drama",8.4,67.0,408395,6.53M,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Kareena Kapoor
3,2009,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,Inglourious Basterds,153,"Adventure, Drama, War",8.3,69.0,1480710,120.54M,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent
4,2009,https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt,Up,96,"Animation, Adventure, Comedy",8.3,88.0,1062297,293.00M,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger
5,2009,https://www.imdb.com/title/tt1305806/?ref_=adv_li_tt,The Secret in Their Eyes,129,"Drama, Mystery, Romance",8.2,80.0,213097,6.39M,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo
6,2009,https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt,Hachi: A Dog's Tale,93,"Biography, Drama, Family",8.1,,292796,,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer
7,2009,https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt,Mary and Max,92,"Animation, Comedy, Drama",8.1,,180055,,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries
8,2009,https://www.imdb.com/title/tt1261047/?ref_=adv_li_tt,Gulaal,140,"Crime, Drama, Thriller",8.0,,15356,,Anurag Kashyap,Kay Kay Menon,Raj Singh Chaudhary,Raja Chaudhary,Jesse Randhawa
9,2009,https://www.imdb.com/title/tt1499666/?ref_=adv_li_tt,Castaway on the Moon,116,"Comedy, Drama, Romance",8.0,,18911,,Lee Hae-jun,Jae-yeong Jeong,Ryeowon Jung,Yeong-seo Park,Mi-kyeong Yang
10,2009,https://www.imdb.com/title/tt1171701/?ref_=adv_li_tt,Nefes: Vatan Sagolsun,128,"Action, Drama, Thriller",8.0,,34307,,Levent Semerci,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,Özgür Eren Koç
11,2009,https://www.imdb.com/title/tt1417299/?ref_=adv_li_tt,Unnaipol Oruvan,106,"Action, Crime, Drama",8.0,,5961,,Chakri Toleti,Kamal Haasan,Mohanlal,Lakshmi,Ganesh Venkatraman
12,2009,https://www.imdb.com/title/tt0499549/?ref_=adv_li_tt,Avatar,162,"Action, Adventure, Fantasy",7.9,83.0,1335352,760.51M,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez
13,2009,https://www.imdb.com/title/tt0432283/?ref_=adv_li_tt,Fantastic Mr. Fox,87,"Animation, Adventure, Comedy",7.9,83.0,241970,21.00M,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman
14,2009,https://www.imdb.com/title/tt0796366/?ref_=adv_li_tt,Star Trek,127,"Action, Adventure, Sci-Fi",7.9,82.0,608883,257.73M,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy
15,2009,https://www.imdb.com/title/tt1136608/?ref_=adv_li_tt,District 9,112,"Action, Sci-Fi, Thriller",7.9,81.0,691900,115.65M,Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt
16,2009,https://www.imdb.com/title/tt1360860/?ref_=adv_li_tt,About Elly,119,"Drama, Mystery",7.9,87.0,54772,0.11M,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Sajjad Dolati
17,2009,https://www.imdb.com/title/tt1327035/?ref_=adv_li_tt,Dev.D,144,"Comedy, Drama, Romance",7.9,,31273,0.01M,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya
18,2009,https://www.imdb.com/title/tt0860906/?ref_=adv_li_tt,Evangelion: 2.0 You Can (Not) Advance,112,"Animation, Action, Drama",7.9,46.0,22904,0.13M,Masayuki,Kazuya Tsurumaki,Hideaki Anno,Joe Fria,Kotono Mitsuishi
19,2009,https://www.imdb.com/title/tt1579592/?ref_=adv_li_tt,Kick,155,"Action, Comedy, Crime",7.9,,5204,,Surender Reddy,Ravi Teja,Ileana D'Cruz,Shaam,Brahmanandam
20,2009,https://www.imdb.com/title/tt0485947/?ref_=adv_li_tt,Mr. Nobody,141,"Drama, Fantasy, Romance",7.8,63.0,237988,0.00M,Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh-Dan Pham
21,2009,https://www.imdb.com/title/tt1182345/?ref_=adv_li_tt,Moon,97,"Drama, Mystery, Sci-Fi",7.8,67.0,365315,5.01M,Duncan Jones,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw
22,2009,https://www.imdb.com/title/tt1132620/?ref_=adv_li_tt,The Girl with the Dragon Tattoo,152,"Crime, Drama, Mystery",7.8,76.0,219114,10.10M,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre
23,2009,https://www.imdb.com/title/tt1216496/?ref_=adv_li_tt,Mother,129,"Crime, Drama, Mystery",7.8,79.0,66996,0.55M,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun
24,2009,https://www.imdb.com/title/tt1149362/?ref_=adv_li_tt,The White Ribbon,144,"Drama, Mystery, Thriller",7.8,83.0,75182,2.22M,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur
25,2009,https://www.imdb.com/title/tt1235166/?ref_=adv_li_tt,A Prophet,155,"Crime, Drama",7.8,90.0,99958,2.08M,Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb
26,2009,https://www.imdb.com/title/tt1422122/?ref_=adv_li_tt,Tales from the Golden Age,155,"Comedy, History",7.8,68.0,5830,,Hanno Höfer,Razvan Marculescu,Cristian Mungiu,Constantin Popescu,Ioana Uricaru
27,2009,https://www.imdb.com/title/tt1119646/?ref_=adv_li_tt,The Hangover,100,Comedy,7.7,73.0,802475,277.32M,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms
28,2009,https://www.imdb.com/title/tt0327597/?ref_=adv_li_tt,Coraline,100,"Animation, Drama, Family",7.7,80.0,240197,75.29M,Henry Selick,Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders
29,2009,https://www.imdb.com/title/tt1022603/?ref_=adv_li_tt,500 Days of Summer,95,"Comedy, Drama, Romance",7.7,76.0,527417,32.39M,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz
