Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
78,1998,https://www.imdb.com/title/tt0120812/?ref_=adv_li_tt,Rush Hour,98,"Action, Comedy, Crime",7.0,60.0,277201,141.15M,Brett Ratner,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson
79,1998,https://www.imdb.com/title/tt0119099/?ref_=adv_li_tt,Fallen,124,"Action, Crime, Drama",7.0,,86431,25.19M,Gregory Hoblit,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz
80,1998,https://www.imdb.com/title/tt0120780/?ref_=adv_li_tt,Out of Sight,123,"Comedy, Crime, Drama",7.0,85.0,95417,37.56M,Steven Soderbergh,George Clooney,Jennifer Lopez,Ving Rhames,Steve Zahn
81,1998,https://www.imdb.com/title/tt0152930/?ref_=adv_li_tt,Taxi,86,"Action, Comedy, Crime",7.0,,85780,0.27M,Gérard Pirès,Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Manuela Gourary
82,1998,https://www.imdb.com/title/tt0120902/?ref_=adv_li_tt,The X Files,121,"Drama, Mystery, Sci-Fi",7.0,60.0,107430,83.90M,Rob Bowman,David Duchovny,Gillian Anderson,John Neville,William B. Davis
83,1998,https://www.imdb.com/title/tt0159382/?ref_=adv_li_tt,Croupier,94,"Crime, Drama",7.0,75.0,22633,6.20M,Mike Hodges,Clive Owen,Nick Reding,Nicholas Ball,Alexander Morton
84,1998,https://www.imdb.com/title/tt0145734/?ref_=adv_li_tt,Playing by Heart,121,"Comedy, Drama, Romance",7.0,55.0,19845,3.96M,Willard Carroll,Gillian Anderson,Ellen Burstyn,Sean Connery,Anthony Edwards
85,1998,https://www.imdb.com/title/tt0147004/?ref_=adv_li_tt,Little Voice,97,"Comedy, Drama, Music",7.0,68.0,16805,4.60M,Mark Herman,Brenda Blethyn,Jane Horrocks,Michael Caine,Ewan McGregor
86,1998,https://www.imdb.com/title/tt0149151/?ref_=adv_li_tt,Still Crazy,95,"Comedy, Drama, Music",7.0,,8402,0.48M,Brian Gibson,Stephen Rea,Billy Connolly,Jimmy Nail,Timothy Spall
87,1998,https://www.imdb.com/title/tt0188503/?ref_=adv_li_tt,The Quiet Family,101,"Comedy, Crime, Horror",7.0,,5551,,Jee-woon Kim,In-hwan Park,Moon-hee Na,Song Kang-ho,Choi Min-sik
88,1998,https://www.imdb.com/title/tt0166556/?ref_=adv_li_tt,That's Life,108,"Comedy, Adventure",7.0,,5272,,Aldo Baglio,Giacomo Poretti,Giovanni Storti,Massimo Venier,Aldo Baglio
89,1998,https://www.imdb.com/title/tt0124718/?ref_=adv_li_tt,He Got Game,136,"Drama, Sport",6.9,64.0,49436,21.55M,Spike Lee,Denzel Washington,Milla Jovovich,Ray Allen,Rosario Dawson
90,1998,https://www.imdb.com/title/tt0120888/?ref_=adv_li_tt,The Wedding Singer,97,"Comedy, Music, Romance",6.9,59.0,154934,80.25M,Frank Coraci,Adam Sandler,Drew Barrymore,Christine Taylor,Allen Covert
91,1998,https://www.imdb.com/title/tt0120889/?ref_=adv_li_tt,What Dreams May Come,113,"Drama, Fantasy, Romance",6.9,44.0,111011,55.49M,Vincent Ward,Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Max von Sydow
92,1998,https://www.imdb.com/title/tt0120879/?ref_=adv_li_tt,Velvet Goldmine,118,"Drama, Music",6.9,65.0,36845,1.05M,Todd Haynes,Ewan McGregor,Jonathan Rhys Meyers,Christian Bale,Toni Collette
93,1998,https://www.imdb.com/title/tt0124595/?ref_=adv_li_tt,Return to Paradise,111,"Drama, Romance, Thriller",6.9,54.0,14977,8.29M,Joseph Ruben,Vince Vaughn,Anne Heche,Joaquin Phoenix,David Conrad
94,1998,https://www.imdb.com/title/tt0120906/?ref_=adv_li_tt,Zero Effect,116,"Comedy, Crime, Drama",6.9,,14752,2.09M,Jake Kasdan,Bill Pullman,Ben Stiller,Ryan O'Neal,Kim Dickens
95,1998,https://www.imdb.com/title/tt0120776/?ref_=adv_li_tt,One True Thing,127,Drama,6.9,63.0,12373,23.25M,Carl Franklin,Meryl Streep,Renée Zellweger,William Hurt,Tom Everett Scott
96,1998,https://www.imdb.com/title/tt0119223/?ref_=adv_li_tt,Great Expectations,111,"Drama, Romance",6.8,55.0,55004,26.33M,Alfonso Cuarón,Ethan Hawke,Gwyneth Paltrow,Hank Azaria,Chris Cooper
97,1998,https://www.imdb.com/title/tt0120746/?ref_=adv_li_tt,The Mask of Zorro,136,"Action, Adventure, Comedy",6.8,63.0,189863,94.10M,Martin Campbell,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,José María de Tavira
98,1998,https://www.imdb.com/title/tt0120686/?ref_=adv_li_tt,Stepmom,125,"Comedy, Drama",6.8,58.0,71029,91.14M,Chris Columbus,Julia Roberts,Susan Sarandon,Ed Harris,Jena Malone
